"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"0500000US06087","Santa Cruz County, California","756600","11286"
"0500000US06089","Shasta County, California","252300","4720"
"0500000US06091","Sierra County, California","231400","63936"
"0500000US06093","Siskiyou County, California","198900","7643"
"0500000US06095","Solano County, California","406900","4055"
"0500000US06097","Sonoma County, California","609600","5255"
"0500000US06099","Stanislaus County, California","291600","2760"
"0500000US06101","Sutter County, California","279400","5833"
"0500000US06103","Tehama County, California","215900","7369"
"0500000US06105","Trinity County, California","287700","18360"
"0500000US06107","Tulare County, California","205000","3810"
"0500000US06109","Tuolumne County, California","289200","9156"
"0500000US06111","Ventura County, California","588400","3247"
"0500000US06113","Yolo County, California","424900","8163"
"0500000US06115","Yuba County, California","257100","7106"
"0500000US08001","Adams County, Colorado","307600","2476"
"0500000US08003","Alamosa County, Colorado","157500","9163"
"0500000US08005","Arapahoe County, Colorado","358200","2430"
"0500000US08007","Archuleta County, Colorado","314400","18654"
"0500000US08009","Baca County, Colorado","83500","5429"
"0500000US08011","Bent County, Colorado","81000","5492"
"0500000US08013","Boulder County, Colorado","497300","6119"
"0500000US08014","Broomfield County, Colorado","413500","9649"
"0500000US08015","Chaffee County, Colorado","357800","13635"
"0500000US08017","Cheyenne County, Colorado","108000","22377"
"0500000US08019","Clear Creek County, Colorado","378300","24176"
"0500000US08021","Conejos County, Colorado","120500","7200"
"0500000US08023","Costilla County, Colorado","113000","10467"
"0500000US08025","Crowley County, Colorado","79400","10259"
"0500000US08027","Custer County, Colorado","281900","54447"
"0500000US08029","Delta County, Colorado","241500","17736"
"0500000US08031","Denver County, Colorado","390600","3946"
"0500000US08033","Dolores County, Colorado","116600","26835"
"0500000US08035","Douglas County, Colorado","468700","2769"
"0500000US08037","Eagle County, Colorado","562300","29902"
"0500000US08039","Elbert County, Colorado","463600","14403"
"0500000US08041","El Paso County, Colorado","275000","2049"
"0500000US08043","Fremont County, Colorado","174000","5810"
"0500000US08045","Garfield County, Colorado","360600","11483"
"0500000US08047","Gilpin County, Colorado","353400","19214"
