metro_code,metro_name,metro_pop,metro_apps,metro_type,variable_name,total_count,loan,denied,is_reliable,reliable_note,odds_ratio
12580,"Baltimore-Columbia-Towson, MD",2796733.0,22086,Metropolitan Statistical Area,AAPI,2187.0,1987.0,200.0,True,Statistically significant disparity,2.3
39740,"Reading, PA",418025.0,2482,Metropolitan Statistical Area,Black,60.0,53.0,7.0,False,Not statistically significant,1.9
39740,"Reading, PA",418025.0,2482,Metropolitan Statistical Area,Latino,281.0,243.0,38.0,False,Not statistically significant,1.5
39740,"Reading, PA",418025.0,2482,Metropolitan Statistical Area,Native American,2.0,2.0,0.0,False,Not statistically significant,0.0
39740,"Reading, PA",418025.0,2482,Metropolitan Statistical Area,AAPI,51.0,49.0,2.0,False,Not statistically significant,0.7
49620,"York-Hanover, PA",445565.0,3204,Metropolitan Statistical Area,Black,101.0,82.0,19.0,False,Not enough variance in variables,4.6
49620,"York-Hanover, PA",445565.0,3204,Metropolitan Statistical Area,Latino,112.0,96.0,16.0,False,Not enough variance in variables,2.6
49620,"York-Hanover, PA",445565.0,3204,Metropolitan Statistical Area,Native American,7.0,7.0,0.0,False,Not enough variance in variables,0.0
49620,"York-Hanover, PA",445565.0,3204,Metropolitan Statistical Area,AAPI,69.0,66.0,3.0,False,Not enough variance in variables,0.6
38300,"Pittsburgh, PA",2331447.0,16700,Metropolitan Statistical Area,Black,394.0,350.0,44.0,False,Not statistically significant,1.1
38300,"Pittsburgh, PA",2331447.0,16700,Metropolitan Statistical Area,Latino,216.0,203.0,13.0,False,Not statistically significant,1.0
38300,"Pittsburgh, PA",2331447.0,16700,Metropolitan Statistical Area,Native American,23.0,22.0,1.0,False,Not statistically significant,0.4
38300,"Pittsburgh, PA",2331447.0,16700,Metropolitan Statistical Area,AAPI,767.0,723.0,44.0,True,Statistically significant disparity,1.6
10580,"Albany-Schenectady-Troy, NY",880736.0,6553,Metropolitan Statistical Area,Black,135.0,118.0,17.0,False,Not statistically significant,1.8
10580,"Albany-Schenectady-Troy, NY",880736.0,6553,Metropolitan Statistical Area,Latino,141.0,130.0,11.0,False,Not statistically significant,1.2
10580,"Albany-Schenectady-Troy, NY",880736.0,6553,Metropolitan Statistical Area,Native American,11.0,10.0,1.0,False,Not statistically significant,2.3
10580,"Albany-Schenectady-Troy, NY",880736.0,6553,Metropolitan Statistical Area,AAPI,454.0,433.0,21.0,False,Not statistically significant,0.6
36140,"Ocean City, NJ",93086.0,667,Metropolitan Statistical Area,Black,3.0,3.0,0.0,False,No results,
36140,"Ocean City, NJ",93086.0,667,Metropolitan Statistical Area,Latino,10.0,10.0,0.0,False,No results,
36140,"Ocean City, NJ",93086.0,667,Metropolitan Statistical Area,Native American,2.0,2.0,0.0,False,No results,
36140,"Ocean City, NJ",93086.0,667,Metropolitan Statistical Area,AAPI,7.0,5.0,2.0,False,No results,
14860,"Bridgeport-Stamford-Norwalk, CT",943926.0,7650,Metropolitan Statistical Area,Black,406.0,347.0,59.0,True,Statistically significant disparity,1.6
14860,"Bridgeport-Stamford-Norwalk, CT",943926.0,7650,Metropolitan Statistical Area,Latino,1038.0,931.0,107.0,False,Not statistically significant,1.1
