"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"310M500US20100","Dover, DE Metro Area","176699","*****","164214","*****","108834","121","44351","695","916","137","3515","359","88","55","445","267","6065","789","170","153","5895","808","12485","*****","8120","659","1073","285","373","331","37","36","14","22","1644","517","1224","352","657","267","567","236"
"310M500US20140","Dublin, GA Micro Area","63891","*****","62276","86","38067","486","22651","319","37","34","559","50","8","14","466","405","488","175","17","28","471","170","1615","86","897","315","42","39","0","31","0","31","0","31","522","251","154","121","99","94","55","61"
"310M500US20180","DuBois, PA Micro Area","79908","*****","77545","*****","74325","28","2092","71","172","39","401","51","0","24","20","18","535","109","55","42","480","97","2363","*****","1318","191","210","85","20","22","0","24","0","24","204","96","611","211","315","130","296","241"
"310M500US20220","Dubuque, IA Metro Area","96982","*****","94587","*****","88010","64","3404","202","154","84","1042","135","493","11","142","127","1342","271","0","23","1342","271","2395","*****","1775","199","36","33","96","105","8","12","16","24","335","185","129","65","106","60","23","25"
"310M500US20260","Duluth, MN-WI Metro Area","289247","*****","284371","*****","263162","43","4447","279","6197","395","2814","239","107","43","82","40","7562","425","78","57","7484","427","4876","*****","3064","288","54","41","169","72","3","4","3","4","963","299","620","168","255","118","365","103"
"310M500US20300","Dumas, TX Micro Area","21399","*****","9403","*****","6946","46","687","68","81","57","1463","42","0","25","26","46","200","93","22","37","178","82","11996","*****","9474","756","116","124","29","46","0","25","0","25","2040","685","337","178","214","144","123","114"
"310M500US20340","Duncan, OK Micro Area","43647","*****","40255","*****","34982","6","743","90","2133","219","235","64","36","30","27","40","2099","249","9","10","2090","249","3392","*****","989","190","23","32","185","131","4","8","19","27","1975","217","197","85","84","46","113","72"
"310M500US20420","Durango, CO Micro Area","55617","*****","48507","*****","43686","51","245","132","3082","204","392","81","4","8","27","25","1071","264","45","48","1026","263","7110","*****","5238","394","31","34","581","300","14","17","0","28","1019","352","227","116","68","49","159","108"
"310M500US20460","Durant, OK Micro Area","46457","*****","43684","*****","32997","29","815","58","6544","317","284","38","68","64","27","19","2949","317","14","23","2935","320","2773","*****","1351","240","2","4","173","79","2","5","0","21","963","248","282","103","85","59","197","83"
"310M500US20500","Durham-Chapel Hill, NC Metro Area","626695","*****","557267","*****","344617","313","163906","1279","1823","245","27924","556","249","103","1824","650","16924","1251","562","216","16362","1268","69428","*****","47023","2032","2550","694","383","253","250","183","0","29","16826","1878","2396","573","1407","427","989","355"
"310M500US20540","Dyersburg, TN Micro Area","37416","*****","36142","*****","29934","22","4731","261","182","40","290","10","56","46","5","11","944","267","12","22","932","269","1274","*****","678","222","105","129","40","47","0","26","0","26","343","286","108","103","45","45","63","89"
"310M500US20580","Eagle Pass, TX Micro Area","58174","*****","2806","*****","1452","114","187","32","697","266","318","264","24","32","128","114","0","32","0","32","0","32","55368","*****","52652","825","93","152","108","114","0","32","0","32","2082","791","433","191","335","169","98","93"
"310M500US20660","Easton, MD Micro Area","37167","*****","34654","*****","28926","48","3738","407","48","40","503","61","0","25","29","48","1410","418","5","10","1405","418","2513","*****","1892","234","149","135","36","46","0","25","0","25","218","150","218","181","173","176","45","38"
"310M500US20700","East Stroudsburg, PA Metro Area","168032","*****","141331","*****","111011","217","22699","499","206","94","3900","359","8","16","254","202","3253","656","390","396","2863","541","26701","*****","17235","1161","2005","551","367","243","196","154","43","54","4834","972","2021","601","912","435","1109","437"
